year,value,Upper confidence interval,Lower confidence interval,metric,timeseries,Ecological Oceanographic or Human activities
1998,12.68144359,NA,NA,Millions of cubic meters,Dredging,human activities
1999,16.4138238,NA,NA,Millions of cubic meters,Dredging,human activities
2000,16.43692253,NA,NA,Millions of cubic meters,Dredging,human activities
2001,12.29353216,NA,NA,Millions of cubic meters,Dredging,human activities
2002,8.573424589,NA,NA,Millions of cubic meters,Dredging,human activities
2003,8.342212496,NA,NA,Millions of cubic meters,Dredging,human activities
2004,12.1408085,NA,NA,Millions of cubic meters,Dredging,human activities
2005,8.812383151,NA,NA,Millions of cubic meters,Dredging,human activities
2006,12.07706833,NA,NA,Millions of cubic meters,Dredging,human activities
2007,16.8917608,NA,NA,Millions of cubic meters,Dredging,human activities
2008,3.852990263,NA,NA,Millions of cubic meters,Dredging,human activities
2009,14.44647047,NA,NA,Millions of cubic meters,Dredging,human activities
2010,9.796372899,NA,NA,Millions of cubic meters,Dredging,human activities
2011,8.448435925,NA,NA,Millions of cubic meters,Dredging,human activities
2012,10.24674311,NA,NA,Millions of cubic meters,Dredging,human activities
2013,8.059257624,NA,NA,Millions of cubic meters,Dredging,human activities
2014,6.3541038,NA,NA,Millions of cubic meters,Dredging,human activities
1981,226771.7,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1982,204445.9,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1983,182063,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1984,191702.1,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1985,178936.2,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1986,237893.9,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1987,251107.6,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1988,249337.6,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1989,297444.5,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1990,272129.1633,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1991,315650.1279,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1992,291310.1885,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1993,216646.6942,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1994,318088.5942,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1995,239705.5756,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1996,277439.257,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1997,291274.6273,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1998,278092.8944,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1999,269418.0496,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2000,245860.3577,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2001,205957.9834,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2002,162100.3968,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2003,171546.1583,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2004,244479.3796,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2005,288031.057,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2006,291795.2153,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2007,244364.4166,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2008,279522.1353,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2009,155029.0361,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2010,201006.429,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2011,257736.9186,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2012,184609.7846,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2013,258741.4516,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
2014,298140,NA,NA,Landings (metric tons),Groundfish landings (including hake),human activities
1999,373320,NA,NA,Distance disturbed (km),Habitat modification,human activities
2000,299727,NA,NA,Distance disturbed (km),Habitat modification,human activities
2001,297718,NA,NA,Distance disturbed (km),Habitat modification,human activities
2002,283060,NA,NA,Distance disturbed (km),Habitat modification,human activities
2003,254692,NA,NA,Distance disturbed (km),Habitat modification,human activities
2004,207189,NA,NA,Distance disturbed (km),Habitat modification,human activities
2005,227297,NA,NA,Distance disturbed (km),Habitat modification,human activities
2006,227833,NA,NA,Distance disturbed (km),Habitat modification,human activities
2007,233287,NA,NA,Distance disturbed (km),Habitat modification,human activities
2008,254586,NA,NA,Distance disturbed (km),Habitat modification,human activities
2009,287386,NA,NA,Distance disturbed (km),Habitat modification,human activities
2010,239220,NA,NA,Distance disturbed (km),Habitat modification,human activities
2011,139423,NA,NA,Distance disturbed (km),Habitat modification,human activities
