time,dissolved_oxygen
UTC,ml/L
2009-03-01T00:00:00Z,1.91
2009-04-01T00:00:00Z,NaN
2009-05-01T00:00:00Z,NaN
2009-06-01T00:00:00Z,NaN
2009-07-01T00:00:00Z,2.47
2009-08-01T00:00:00Z,NaN
2009-09-01T00:00:00Z,NaN
2009-10-01T00:00:00Z,NaN
2009-11-01T00:00:00Z,NaN
2009-12-01T00:00:00Z,NaN
2010-01-01T00:00:00Z,3.09
2010-02-01T00:00:00Z,NaN
2010-03-01T00:00:00Z,NaN
2010-04-01T00:00:00Z,2.0
2010-05-01T00:00:00Z,NaN
2010-06-01T00:00:00Z,NaN
2010-07-01T00:00:00Z,2.52
2010-08-01T00:00:00Z,NaN
2010-09-01T00:00:00Z,2.02
2010-10-01T00:00:00Z,1.82
2010-11-01T00:00:00Z,NaN
2010-12-01T00:00:00Z,NaN
2011-01-01T00:00:00Z,2.29
2011-02-01T00:00:00Z,NaN
2011-03-01T00:00:00Z,NaN
2011-04-01T00:00:00Z,1.44
2011-05-01T00:00:00Z,NaN
2011-06-01T00:00:00Z,NaN
2011-07-01T00:00:00Z,2.1
2011-08-01T00:00:00Z,NaN
2011-09-01T00:00:00Z,NaN
2011-10-01T00:00:00Z,1.85
2011-11-01T00:00:00Z,NaN
2011-12-01T00:00:00Z,NaN
2012-01-01T00:00:00Z,2.1
2012-02-01T00:00:00Z,NaN
2012-03-01T00:00:00Z,1.47
2012-04-01T00:00:00Z,NaN
2012-05-01T00:00:00Z,NaN
2012-06-01T00:00:00Z,NaN
2012-07-01T00:00:00Z,1.75
2012-08-01T00:00:00Z,NaN
2012-09-01T00:00:00Z,NaN
2012-10-01T00:00:00Z,2.57
2012-11-01T00:00:00Z,NaN
2012-12-01T00:00:00Z,NaN
2013-01-01T00:00:00Z,2.18
2013-02-01T00:00:00Z,NaN
2013-03-01T00:00:00Z,NaN
2013-04-01T00:00:00Z,1.7
2013-05-01T00:00:00Z,NaN
2013-06-01T00:00:00Z,NaN
2013-07-01T00:00:00Z,1.57
2013-08-01T00:00:00Z,NaN
2013-09-01T00:00:00Z,NaN
2013-10-01T00:00:00Z,NaN
2013-11-01T00:00:00Z,2.17
2013-12-01T00:00:00Z,NaN
2014-01-01T00:00:00Z,2.55
2014-02-01T00:00:00Z,NaN
2014-03-01T00:00:00Z,NaN
2014-04-01T00:00:00Z,2.07
2014-05-01T00:00:00Z,NaN
2014-06-01T00:00:00Z,NaN
2014-07-01T00:00:00Z,1.94
2014-08-01T00:00:00Z,NaN
2014-09-01T00:00:00Z,NaN
2014-10-01T00:00:00Z,NaN
2014-11-01T00:00:00Z,2.44
2014-12-01T00:00:00Z,NaN
