time,dissolved_oxygen
UTC,ml/L
2007-09-01T00:00:00Z,NaN
2007-10-01T00:00:00Z,NaN
2007-11-01T00:00:00Z,3.35
2007-12-01T00:00:00Z,NaN
2008-01-01T00:00:00Z,3.34
2008-02-01T00:00:00Z,NaN
2008-03-01T00:00:00Z,4.41
2008-04-01T00:00:00Z,NaN
2008-05-01T00:00:00Z,NaN
2008-06-01T00:00:00Z,NaN
2008-07-01T00:00:00Z,NaN
2008-08-01T00:00:00Z,2.88
2008-09-01T00:00:00Z,NaN
2008-10-01T00:00:00Z,3.21
2008-11-01T00:00:00Z,NaN
2008-12-01T00:00:00Z,NaN
2009-01-01T00:00:00Z,3.35
2009-02-01T00:00:00Z,NaN
2009-03-01T00:00:00Z,4.04
2009-04-01T00:00:00Z,NaN
2009-05-01T00:00:00Z,NaN
2009-06-01T00:00:00Z,NaN
2009-07-01T00:00:00Z,3.14
2009-08-01T00:00:00Z,NaN
2009-09-01T00:00:00Z,NaN
2009-10-01T00:00:00Z,NaN
2009-11-01T00:00:00Z,4.04
2009-12-01T00:00:00Z,NaN
2010-01-01T00:00:00Z,3.49
2010-02-01T00:00:00Z,NaN
2010-03-01T00:00:00Z,NaN
2010-04-01T00:00:00Z,4.61
2010-05-01T00:00:00Z,NaN
2010-06-01T00:00:00Z,NaN
2010-07-01T00:00:00Z,NaN
2010-08-01T00:00:00Z,NaN
2010-09-01T00:00:00Z,NaN
2010-10-01T00:00:00Z,NaN
2010-11-01T00:00:00Z,5.05
2010-12-01T00:00:00Z,NaN
2011-01-01T00:00:00Z,4.92
2011-02-01T00:00:00Z,NaN
2011-03-01T00:00:00Z,NaN
2011-04-01T00:00:00Z,3.75
2011-05-01T00:00:00Z,NaN
2011-06-01T00:00:00Z,NaN
2011-07-01T00:00:00Z,NaN
2011-08-01T00:00:00Z,3.14
2011-09-01T00:00:00Z,NaN
2011-10-01T00:00:00Z,3.88
2011-11-01T00:00:00Z,NaN
2011-12-01T00:00:00Z,NaN
2012-01-01T00:00:00Z,NaN
2012-02-01T00:00:00Z,3.43
2012-03-01T00:00:00Z,3.91
2012-04-01T00:00:00Z,NaN
2012-05-01T00:00:00Z,NaN
2012-06-01T00:00:00Z,NaN
2012-07-01T00:00:00Z,2.92
2012-08-01T00:00:00Z,NaN
2012-09-01T00:00:00Z,NaN
2012-10-01T00:00:00Z,4.21
2012-11-01T00:00:00Z,NaN
2012-12-01T00:00:00Z,NaN
2013-01-01T00:00:00Z,4.38
2013-02-01T00:00:00Z,NaN
2013-03-01T00:00:00Z,NaN
2013-04-01T00:00:00Z,4.84
2013-05-01T00:00:00Z,NaN
2013-06-01T00:00:00Z,NaN
2013-07-01T00:00:00Z,3.79
2013-08-01T00:00:00Z,NaN
2013-09-01T00:00:00Z,NaN
2013-10-01T00:00:00Z,NaN
2013-11-01T00:00:00Z,3.83
2013-12-01T00:00:00Z,NaN
2014-01-01T00:00:00Z,NaN
2014-02-01T00:00:00Z,3.82
2014-03-01T00:00:00Z,NaN
2014-04-01T00:00:00Z,4.11
2014-05-01T00:00:00Z,NaN
2014-06-01T00:00:00Z,NaN
2014-07-01T00:00:00Z,3.76
2014-08-01T00:00:00Z,NaN
2014-09-01T00:00:00Z,NaN
2014-10-01T00:00:00Z,NaN
2014-11-01T00:00:00Z,4.26
2014-12-01T00:00:00Z,NaN
2015-01-01T00:00:00Z,4.81
2015-02-01T00:00:00Z,NaN
2015-03-01T00:00:00Z,NaN
2015-04-01T00:00:00Z,3.63
2015-05-01T00:00:00Z,NaN
2015-06-01T00:00:00Z,NaN
2015-07-01T00:00:00Z,4.45
2015-08-01T00:00:00Z,NaN
2015-09-01T00:00:00Z,NaN
2015-10-01T00:00:00Z,NaN
2015-11-01T00:00:00Z,4.47
2015-12-01T00:00:00Z,NaN
2016-01-01T00:00:00Z,3.59
2016-02-01T00:00:00Z,NaN
2016-03-01T00:00:00Z,NaN
2016-04-01T00:00:00Z,3.7
2016-05-01T00:00:00Z,NaN
2016-06-01T00:00:00Z,NaN
2016-07-01T00:00:00Z,4.07
2016-08-01T00:00:00Z,NaN
2016-09-01T00:00:00Z,NaN
2016-10-01T00:00:00Z,NaN
2016-11-01T00:00:00Z,2.85
2016-12-01T00:00:00Z,NaN
2017-01-01T00:00:00Z,3.47
2017-02-01T00:00:00Z,NaN
2017-03-01T00:00:00Z,NaN
2017-04-01T00:00:00Z,2.9727
2017-05-01T00:00:00Z,NaN
2017-06-01T00:00:00Z,NaN
2017-07-01T00:00:00Z,NaN
2017-08-01T00:00:00Z,4.574
